Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_simple_branch_1024,13.72,17.93,0.67,7.57,1.75,2.08,1.37,2.52,1.98,5.6,4.28,0.76,3.98,3.38,0.03,35.97
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_none_branch_512,10.69,17.6,0.69,7.29,1.82,1.96,1.34,2.54,1.96,5.62,4.29,0.85,0.84,3.38,0.03,32.61
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_none_branch_1024,10.73,18.27,0.67,7.79,1.77,2.11,1.39,2.58,1.96,5.73,4.28,0.78,0.84,3.38,0.03,33.31
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_ghb_branch_4096,13.91,17.96,0.69,7.54,1.82,2.0,1.35,2.57,1.98,5.7,4.29,0.85,3.99,3.38,0.03,36.19
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_none_branch_2048,13.48,16.84,0.68,6.84,1.8,1.87,1.28,2.39,1.98,5.3,4.29,0.82,3.99,3.38,0.03,34.64
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_simple_branch_512,13.76,17.62,0.69,7.36,1.82,1.95,1.32,2.5,1.98,5.54,4.29,0.85,3.99,3.38,0.03,35.7
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_none_branch_512,13.59,17.65,0.67,7.42,1.75,2.03,1.34,2.46,1.98,5.47,4.28,0.76,3.99,3.38,0.03,35.55
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_simple_branch_2048,13.39,17.14,0.66,7.09,1.73,1.99,1.31,2.37,1.98,5.3,4.28,0.73,3.98,3.37,0.03,34.83
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_none_branch_2048,13.84,18.09,0.68,7.67,1.78,2.06,1.37,2.56,1.98,5.68,4.29,0.8,3.99,3.38,0.03,36.25
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_ghb_branch_4096,10.68,18.04,0.68,7.65,1.78,2.06,1.36,2.55,1.96,5.67,4.29,0.8,0.84,3.38,0.03,33.04
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_ghb_branch_512,10.92,18.29,0.69,7.73,1.82,2.06,1.39,2.65,1.96,5.85,4.29,0.85,0.84,3.38,0.03,33.53
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_none_branch_4096,10.54,17.7,0.67,7.43,1.77,2.03,1.35,2.49,1.96,5.54,4.28,0.78,0.84,3.38,0.03,32.55
